_id,name,address,moodKeywords
65ad3d775a419523bb35843c,장인닭갈비 강남점,서울 강남구 테헤란로1길 19,"['빈티지한', '서민적인']"
65ad3d775a419523bb35843d,후추포인트,서울 강남구 봉은사로6길 30 1층,"['예쁜', '깔끔한']"
65ad3d775a419523bb35843e,썸띵어바웃커피,"서울 강남구 강남대로102길 30 1, 2, 3층","['예쁜', '깔끔한']"
65ad3d785a419523bb358440,프라텔리,서울 강남구 봉은사로4길 31,"['예쁜', '캐주얼한']"
65ad3d785a419523bb358441,트리오드,서울 강남구 강남대로94길 28 유니언타운 L층,"['예쁜', '깔끔한']"
65ad3d785a419523bb358442,마초쉐프 강남본점,서울 강남구 강남대로106길 29 1층,"['캐주얼한', '시끌벅적한']"
65ad3d785a419523bb358443,소보키 강남점,서울 강남구 봉은사로18길 80 1층,"['이국적/이색적', '깔끔한']"
65ad3d785a419523bb358444,다몽집 신논현본점,서울 강남구 강남대로100길 13 지하1층/2층 다몽집,"['시끌벅적한', '깔끔한']"
65ad3d785a419523bb358445,82올리언즈 강남점,서울 강남구 강남대로98길 28 1층,"['예쁜', '이국적/이색적']"
65ad3d785a419523bb358446,어거스트 힐 강남점,서울 강남구 강남대로106길 25,"['조용한', '고급스러운']"
65ad3d785a419523bb358447,위트앤미트 강남점,서울 강남구 강남대로110길 32 1층,"['캐주얼한', '이국적/이색적']"
65ad3d785a419523bb358448,자매수산,서울 강남구 봉은사로18길 90,"['시끌벅적한', '서민적인']"
65ad3d785a419523bb35844b,보슬보슬 역삼본점,서울 강남구 논현로85길 59 남곡빌딩 1층,"['캐주얼한', '서민적인']"
65ad3d785a419523bb35844c,빠레뜨한남 강남CGV점,서울 강남구 강남대로102길 13 2층,"['예쁜', '깔끔한']"
65ad3d785a419523bb35844e,정돈 강남점,서울 강남구 강남대로110길 19-1 1층,"['깔끔한', '캐주얼한']"
65ad3d785a419523bb35844f,오레노라멘 강남점,서울 강남구 테헤란로1길 28-9 2F,"['깔끔한', '조용한']"
65ad3d785a419523bb358450,호미호식 강남본점,서울 강남구 봉은사로4길 36 운현빌딩 1층 2호 호미호식,"['예쁜', '조용한']"
65ad3d785a419523bb358451,고수닭갈비,서울 강남구 강남대로96길 12,['신선한']
65ad3d785a419523bb358452,봉우화로,서울 강남구 봉은사로18길 76 스타 팰리스,"['시끌벅적한', '서민적인']"
65ad3d785a419523bb358453,에이비카페,서울 강남구 강남대로102길 32,"['이국적/이색적', '예쁜']"
65ad3d785a419523bb358454,무월 강남신논현 본점,서울 강남구 봉은사로4길 21,"['캐주얼한', '시끌벅적한']"
65ad3d785a419523bb358455,은하수,"서울 강남구 봉은사로4길 17 3, 4층","['예쁜', '경관/야경이좋은']"
65ad3d785a419523bb358456,어퍼앤언더,"서울 강남구 강남대로102길 28 지하1층, 1층, 2층","['깔끔한', '예쁜']"
65ad3d785a419523bb358457,수지상회 강남1호점,서울 강남구 테헤란로1길 17 2층,"['캐주얼한', '깔끔한']"
65ad3d7c5a419523bb358458,무월식탁,서울 강남구 강남대로102길 23,"['시끌벅적한', '예쁜']"
65ad3d7c5a419523bb358459,유니네 고깃간,서울 강남구 강남대로98길 12 1층,['시끌벅적한']
65ad3d7c5a419523bb35845a,무한미니훠궈&마라탕,"서울 강남구 테헤란로1길 28-5 . 지상3층(역삼동, 제이엠빌딩)","['서민적인', '푸짐한']"
65ad3d7c5a419523bb35845b,나이스샤워,서울 강남구 테헤란로10길 25 뜨라네아파트,"['캐주얼한', '조용한']"
65ad3d7d5a419523bb358460,한과와락,서울 강남구 봉은사로4길 31-5,"['예쁜', '조용한']"
65ad3d7d5a419523bb358462,육구공,서울 강남구 도산대로15길 16 2층,"['깔끔한', '푸짐한']"
65ad3d7d5a419523bb358463,다크그림,서울 강남구 강남대로112길 12 1층 다크그림,['캐주얼한']
65ad3d7d5a419523bb358464,쭈꾸미랩소디 강남점,서울 강남구 강남대로98길 12-3 1층 쭈꾸미랩소디,"['캐주얼한', '푸짐한']"
65ad3d7d5a419523bb358465,원아베뉴,서울 강남구 테헤란로7길 11 1층,"['깔끔한', '예쁜']"
65ad3d7d5a419523bb358466,치스타 강남점,서울 강남구 강남대로106길 9 지하1층 치스타,['조용한']
65ad3d7d5a419523bb358468,다온정,서울 강남구 테헤란로14길 16 라인빌딩,['고급스러운']
65ad3d7d5a419523bb358469,도치피자 강남,서울 강남구 강남대로98길 27 1층,"['캐주얼한', '예쁜']"
65ad3d7d5a419523bb35846a,멜로우가든 강남점,서울 강남구 강남대로110길 15 1층 102호,"['시끌벅적한', '숨은맛집']"
65ad3d7d5a419523bb35846b,돝고기506,서울 강남구 역삼로17길 53,"['고급스러운', '깔끔한']"
65ad3d7d5a419523bb35846c,샤브쌈주머니 서울강남점,서울 강남구 테헤란로5길 11,"['캐주얼한', '신선한']"
65ad3d7d5a419523bb35846d,왕스펍,서울 강남구 강남대로98길 11 메트로빌딩 1층,"['시끌벅적한', '이국적/이색적']"
65ad3d7d5a419523bb35846e,강남 곱,서울 강남구 역삼로3길 12,"['신선한', '캐주얼한']"
65ad3d7d5a419523bb35846f,미분당 강남점,서울 강남구 강남대로110길 16 1층 미분당 강남점,['편안한']
65ad3d7d5a419523bb358470,화기애애,서울 강남구 강남대로106길 12 화기애애,['고급스러운']
65ad3d7d5a419523bb358471,명륜진사갈비 강남역삼점,서울 강남구 도곡로7길 17 두범빌딩 지하1층,"['가성비좋은', '시끌벅적한']"
65ad3d7d5a419523bb358472,소과당 강남본점,서울 강남구 강남대로96길 12 A동 2층 소과당,"['예쁜', '깔끔한']"
65ad3d7d5a419523bb358473,백억하누 강남본점,"서울 강남구 테헤란로5길 29 1, 2층","['고급스러운', '고급스러운']"
65ad3d7d5a419523bb358474,피그인더가든 강남점,서울 강남구 강남대로 358 1층,"['캐주얼한', '깔끔한']"
65ad3d7d5a419523bb358475,육미당 몽산,서울 강남구 강남대로96길 15 2층,['캐주얼한']
65ad3d7d5a419523bb358476,류센소 강남점,서울 강남구 강남대로102길 31 1층,['캐주얼한']
65ad3d7d5a419523bb358477,천진영감,서울 강남구 봉은사로6길 26 1층,"['이국적/이색적', '캐주얼한']"
65ad3d7d5a419523bb358479,레뽀드라라 강남점,서울 강남구 테헤란로7길 22 2관 101호,"['캐주얼한', '시끌벅적한']"
65ad3d7d5a419523bb35847a,셀렉티드마롱,서울 강남구 테헤란로4길 37 1층 셀렉티드마롱,"['깔끔한', '예쁜']"
